k_requested,k_avail,k_actual,xfer_k_bytes,rep,step_idx,wall_ms,cuda_event_ms,gate_ms,decode_gpu_ms,num_new_tokens,tok_per_s,decode_ratio,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,5577,128,1048576,2,92,5628.0798,5628.0693,1094.3377,4528.4688,0,0.000000,0.804621,,,1,172
128,5577,128,1048576,2,93,5390.9366,5390.9199,1271.6279,4113.7876,0,0.000000,0.763093,,,1,172
128,5577,128,1048576,2,94,4944.7926,4944.7754,1187.7396,3751.6038,0,0.000000,0.758698,,,1,172
128,5577,128,1048576,2,95,2365.4130,2365.3884,1070.2685,1290.0808,0,0.000000,0.545393,,,1,86
256,5577,256,2097152,0,64,1435.6874,1435.6237,421.0456,1013.1971,0,0.000000,0.705723,,,1,131
256,5577,256,2097152,0,65,1533.5031,1533.4801,492.7400,1038.8915,0,0.000000,0.677463,,,1,131
256,5577,256,2097152,0,66,2220.9028,2220.8796,554.8875,1663.7888,0,0.000000,0.749150,,,1,209
256,5577,256,2097152,0,67,2307.5818,2307.5627,582.7077,1722.3776,0,0.000000,0.746399,,,1,209
256,5577,256,2097152,0,68,2391.6511,2391.6328,609.4342,1779.9021,0,0.000000,0.744215,,,1,209
256,5577,256,2097152,0,69,2445.3029,2445.2815,602.1915,1840.5033,0,0.000000,0.752669,,,1,209
256,5577,256,2097152,0,70,2837.9806,2837.9641,740.9084,2094.3970,0,0.000000,0.737988,,,1,209
256,5577,256,2097152,0,71,3104.5492,3104.5312,848.0913,2253.6221,0,0.000000,0.725910,,,1,209
256,5577,256,2097152,0,72,3111.0935,3111.0754,831.3209,2276.7561,0,0.000000,0.731819,,,1,209
256,5577,256,2097152,0,73,3146.1343,3146.1165,840.1264,2302.7732,0,0.000000,0.731937,,,1,209
256,5577,256,2097152,0,74,3123.8474,3123.8284,803.3488,2317.1863,0,0.000000,0.741773,,,1,209
256,5577,256,2097152,0,75,3143.7707,3143.7505,808.1557,2331.7273,0,0.000000,0.741698,,,1,209
256,5577,256,2097152,0,76,3187.8760,3187.8547,834.9030,2349.2839,0,0.000000,0.736943,,,1,209
256,5577,256,2097152,0,77,3167.6315,3167.6104,797.2213,2366.5437,0,0.000000,0.747102,,,1,209
256,5577,256,2097152,0,78,3110.1908,3110.1711,780.2692,2325.9312,0,0.000000,0.747842,,,1,209
256,5577,256,2097152,0,79,3149.6564,3149.6345,774.0204,2371.4983,0,0.000000,0.752939,,,1,209
256,5577,256,2097152,0,80,3159.4283,3159.4072,777.6390,2377.4587,0,0.000000,0.752497,,,1,209
256,5577,256,2097152,0,81,3117.3159,3117.2942,748.3068,2364.5271,0,0.000000,0.758514,,,1,209
256,5577,256,2097152,0,82,3075.4400,3075.4167,737.2556,2333.5203,0,0.000000,0.758760,,,1,209
256,5577,256,2097152,0,83,3089.9344,3089.9128,720.9546,2364.1875,0,0.000000,0.765125,,,1,209
256,5577,256,2097152,0,84,3092.4990,3092.4751,722.8045,2364.6892,0,0.000000,0.764653,,,1,209
256,5577,256,2097152,0,85,2813.2999,2813.2776,711.3823,2096.7759,0,0.000000,0.745308,,,1,209
256,5577,256,2097152,0,86,2215.8964,2215.8718,406.0477,1804.5203,0,0.000000,0.814352,,,1,209
256,5577,256,2097152,0,87,2304.8608,2304.8391,452.4928,1846.9514,0,0.000000,0.801329,,,1,209
256,5577,256,2097152,0,88,2286.9580,2286.9370,409.4116,1871.9310,0,0.000000,0.818524,,,1,209
256,5577,256,2097152,0,89,2345.6292,2345.6077,447.0198,1892.8029,0,0.000000,0.806949,,,1,209
256,5577,256,2097152,0,90,2515.9796,2515.9602,491.6437,2018.3989,0,0.000000,0.802232,,,1,209
256,5577,256,2097152,0,91,2680.2265,2680.2070,534.4724,2139.6104,0,0.000000,0.798295,,,1,209
256,5577,256,2097152,0,92,2668.0463,2668.0251,539.7750,2121.7166,0,0.000000,0.795232,,,1,209
256,5577,256,2097152,0,93,2715.5074,2715.4875,553.6005,2155.3010,0,0.000000,0.793701,,,1,209
256,5577,256,2097152,0,94,2742.5053,2742.4863,557.6874,2178.1780,0,0.000000,0.794229,,,1,209
256,5577,256,2097152,0,95,2791.6999,2791.6816,552.3059,2232.1533,0,0.000000,0.799568,,,1,209
256,5577,256,2097152,1,64,1554.8097,1554.7733,511.3065,1042.3918,0,0.000000,0.670431,,,1,131
256,5577,256,2097152,1,65,1570.6498,1570.6252,518.8546,1050.4011,0,0.000000,0.668769,,,1,131
256,5577,256,2097152,1,66,2176.1360,2176.1147,520.9726,1653.2510,0,0.000000,0.759719,,,1,209
256,5577,256,2097152,1,67,2236.5748,2236.5532,543.6389,1690.8175,0,0.000000,0.755985,,,1,209
256,5577,256,2097152,1,68,2233.7092,2233.6868,535.0229,1696.4125,0,0.000000,0.759460,,,1,209
256,5577,256,2097152,1,69,2268.2680,2268.2471,543.2867,1722.5280,0,0.000000,0.759402,,,1,209
256,5577,256,2097152,1,70,2365.0674,2365.0461,600.6163,1761.8312,0,0.000000,0.744939,,,1,209
256,5577,256,2097152,1,71,2407.2899,2407.2673,608.5815,1795.9353,0,0.000000,0.746040,,,1,209
256,5577,256,2097152,1,72,5988.2159,5988.2031,1165.5970,4819.5630,0,0.000000,0.804841,,,1,209
256,5577,256,2097152,1,73,6363.5566,6363.5381,1415.0994,4945.1738,0,0.000000,0.777108,,,1,209
256,5577,256,2097152,1,74,2876.5542,2876.5312,1217.4093,1655.7836,0,0.000000,0.575614,,,1,209
256,5577,256,2097152,1,75,2081.7374,2081.7136,392.7902,1685.4181,0,0.000000,0.809621,,,1,209
256,5577,256,2097152,1,76,2219.9129,2219.8904,457.8829,1758.3770,0,0.000000,0.792093,,,1,209
256,5577,256,2097152,1,77,2262.1156,2262.0928,471.6141,1786.6735,0,0.000000,0.789824,,,1,209
256,5577,256,2097152,1,78,2308.5871,2308.5642,490.6069,1813.9640,0,0.000000,0.785746,,,1,209
256,5577,256,2097152,1,79,2362.2042,2362.1833,500.9165,1857.1171,0,0.000000,0.786180,,,1,209
256,5577,256,2097152,1,80,2384.6838,2384.6626,508.3549,1871.9778,0,0.000000,0.785000,,,1,209
