k_requested,k_actual,k_avail,xfer_k_bytes,xfer_k_ms,rep,step_idx,wall_ms,gpu_ms,gpu_ratio_pct,nvml_gpu_util,nvml_mem_util,cls_pred,text_len
128,128,31265,1048576,0.06486475467681885,1,45,2989.1509,2989.0852,99.9978,7,1,1,27
128,128,31941,1048576,0.0654999166727066,1,46,3406.8002,3406.7288,99.9979,13,2,1,27
128,128,32617,1048576,0.0635739415884018,1,47,3018.2973,3018.2307,99.9978,85,65,1,27
128,128,33293,1048576,0.06366521120071411,1,48,3147.2845,3147.2117,99.9977,13,6,1,27
128,128,33969,1048576,0.06690248847007751,1,49,3233.3828,3233.3147,99.9979,9,1,1,27
128,128,34645,1048576,0.06372667849063873,1,50,3429.4940,3429.4226,99.9979,71,53,1,27
128,128,35321,1048576,0.06380118429660797,1,51,3489.5823,3489.5115,99.9980,30,16,1,27
128,128,35997,1048576,0.07351860404014587,1,52,3557.9277,3557.8560,99.9980,49,30,1,27
128,128,36673,1048576,0.07439590990543365,1,53,3635.0031,3634.9294,99.9980,30,16,1,27
128,128,37349,1048576,0.09308010339736938,1,54,3676.6862,3676.6118,99.9980,7,0,1,27
128,128,38025,1048576,0.06823614239692688,1,55,3732.5047,3732.4302,99.9980,23,13,1,27
128,128,38701,1048576,0.06697513163089752,1,56,3697.2811,3697.2083,99.9980,19,3,1,27
128,128,39377,1048576,0.08190423250198364,1,57,3751.3437,3751.2683,99.9980,6,0,1,27
128,128,40053,1048576,0.07175467908382416,1,58,3815.4864,3815.4111,99.9980,11,1,1,27
128,128,40729,1048576,0.06547942757606506,1,59,3852.6456,3852.5715,99.9981,25,3,1,27
128,128,41405,1048576,0.06281211972236633,1,60,3897.5459,3897.4697,99.9980,6,0,1,27
128,128,42081,1048576,0.06383843719959259,1,61,3981.9593,3981.8831,99.9981,16,7,1,27
128,128,42757,1048576,0.09331107139587402,1,62,4114.6677,4114.5903,99.9981,53,24,1,27
128,128,43433,1048576,0.06425566971302032,1,63,4133.3159,4133.2397,99.9982,82,50,1,27
128,128,22477,1048576,0.06415322422981262,2,32,2115.8385,2115.7710,99.9968,52,15,1,29
128,128,23153,1048576,0.0637546181678772,2,33,2180.2911,2180.2390,99.9976,39,12,1,27
128,128,23829,1048576,0.06812624633312225,2,34,2234.5168,2234.4653,99.9977,56,16,1,27
128,128,24505,1048576,0.0645369291305542,2,35,2300.6378,2300.5847,99.9977,25,12,1,27
128,128,25181,1048576,0.06353668868541718,2,36,2352.0667,2352.0149,99.9978,36,27,1,27
128,128,25857,1048576,0.06299465894699097,2,37,2402.3966,2402.3416,99.9977,33,23,1,27
128,128,26533,1048576,0.06347522139549255,2,38,2479.2909,2479.2371,99.9978,27,4,1,27
128,128,27209,1048576,0.0661611557006836,2,39,2748.0445,2747.9883,99.9980,26,16,1,27
128,128,27885,1048576,0.1043025404214859,2,40,2737.9711,2737.9128,99.9979,67,21,1,27
128,128,28561,1048576,0.08016824722290039,2,41,2691.0961,2691.0383,99.9979,17,2,1,27
128,128,29237,1048576,0.07366761565208435,2,42,2776.5012,2776.4443,99.9980,13,3,1,27
128,128,29913,1048576,0.08568912744522095,2,43,3071.4954,3071.4351,99.9980,39,8,1,27
128,128,30589,1048576,0.06392411887645721,2,44,2842.1006,2842.0430,99.9980,59,18,1,27
